Reference, Value, Type, Datasheet
U1,CD4067,16-channel Analog Multiplexer 4067,https://www.sparkfun.com/datasheets/IC/CD74HC4067.pdf
P2,CONN_01X03,JST PH Connector Male Angled 3-pin,
P10,CONN_01X03,JST PH Connector Male Angled 3-pin,
P14,CONN_01X03,JST PH Connector Male Angled 3-pin,
P19,CONN_01X03,JST PH Connector Male Angled 3-pin,
P3,CONN_01X03,JST PH Connector Male Angled 3-pin,
P11,CONN_01X03,JST PH Connector Male Angled 3-pin,
P15,CONN_01X03,JST PH Connector Male Angled 3-pin,
P20,CONN_01X03,JST PH Connector Male Angled 3-pin,
P4,CONN_01X03,JST PH Connector Male Angled 3-pin,
P12,CONN_01X03,JST PH Connector Male Angled 3-pin,
P16,CONN_01X03,JST PH Connector Male Angled 3-pin,
P21,CONN_01X03,JST PH Connector Male Angled 3-pin,
P5,CONN_01X03,JST PH Connector Male Angled 3-pin,
P13,CONN_01X03,JST PH Connector Male Angled 3-pin,
P17,CONN_01X03,JST PH Connector Male Angled 3-pin,
P22,CONN_01X03,JST PH Connector Male Angled 3-pin,
P1,CONN_02X03,IDC Connector Male 2x3 Straight,
C2,0.1uF,Capacitor Ceramic Unpolarized,
P18,CONN_01X02,Screw Terminal 2-pin 5mm Pitch,
R1,10K,Resistor,
